ID,Parent,Food Eaten,Energy,Score,Alive?
0,-1,94,198,17178,True
1,-1,100,200,18402,True
2,-1,70,102,11912,True
3,-1,76,192,13371,True
4,-1,77,168,13339,True
8,-1,56,84,7358,True
10,1,47,187,6517,True
11,3,47,105,6712,True
13,0,24,67,1526,True
15,0,8,76,1169,True
16,1,15,135,2490,True
17,2,10,122,1266,True
18,3,18,125,3071,True
19,4,16,168,2788,True
20,10,16,176,2548,True
21,3,7,147,1094,True
22,11,13,174,2366,True
23,0,7,151,1262,True
24,1,5,119,955,True
25,2,7,157,1235,True
26,8,4,133,692,True
27,11,2,96,278,True
28,15,4,154,528,True
29,16,5,136,842,True
30,18,5,159,815,True
31,22,3,126,438,True
32,0,0,195,0,True
33,1,1,198,197,True
34,3,0,195,0,True
35,20,1,196,199,True
