ID,Parent,Food Eaten,Energy,Score,Alive?
0,-1,95,200,17375,True
1,-1,101,200,18601,True
2,-1,70,101,11912,True
3,-1,76,191,13371,True
4,-1,77,167,13339,True
8,-1,57,103,7441,True
10,1,47,186,6517,True
11,3,47,104,6712,True
13,0,25,86,1592,True
15,0,8,75,1169,True
16,1,15,134,2490,True
17,2,10,121,1266,True
18,3,19,144,3195,True
19,4,16,167,2788,True
20,10,16,175,2548,True
21,3,7,146,1094,True
22,11,13,173,2366,True
23,0,7,150,1262,True
24,1,5,118,955,True
25,2,7,156,1235,True
26,8,4,132,692,True
27,11,2,95,278,True
28,15,5,173,681,True
29,16,5,135,842,True
30,18,5,158,815,True
31,22,3,125,438,True
32,0,0,194,0,True
33,1,1,197,197,True
34,3,0,194,0,True
35,20,1,195,199,True
36,0,0,199,0,True
37,1,0,199,0,True
38,3,0,199,0,True
39,10,0,199,0,True
40,32,0,199,0,True
41,33,0,199,0,True
42,34,0,199,0,True
43,35,0,199,0,True
