ID,Parent,Food Eaten,Energy,Score,Alive?
0,-1,95,196,17375,True
1,-1,101,196,18601,True
2,-1,71,117,12012,True
3,-1,78,198,13760,True
4,-1,79,199,13688,True
8,-1,58,119,7540,True
10,1,47,182,6517,True
11,3,47,100,6712,True
13,0,26,102,1674,True
15,0,9,91,1241,True
16,1,16,150,2620,True
17,2,10,117,1266,True
18,3,22,199,3681,True
19,4,16,163,2788,True
20,10,17,191,2719,True
21,3,7,142,1094,True
22,11,13,169,2366,True
23,0,7,146,1262,True
24,1,6,134,1070,True
25,2,8,172,1390,True
26,8,4,128,692,True
27,11,3,111,369,True
28,15,5,169,681,True
29,16,6,151,973,True
30,18,6,174,969,True
31,22,3,121,438,True
32,0,2,200,390,True
33,1,2,197,393,True
34,3,2,200,390,True
35,20,2,200,390,True
36,0,0,195,0,True
37,1,0,195,0,True
38,3,0,195,0,True
39,10,1,197,198,True
40,32,0,195,0,True
41,33,0,195,0,True
42,34,0,195,0,True
43,35,0,195,0,True
44,0,0,196,0,True
45,1,2,200,396,True
46,3,0,196,0,True
47,10,0,196,0,True
48,32,0,196,0,True
49,33,0,196,0,True
50,34,0,196,0,True
51,35,1,197,199,True
52,36,2,200,396,True
53,37,1,199,197,True
54,38,0,196,0,True
55,39,0,196,0,True
56,40,2,200,396,True
57,41,1,200,196,True
58,42,2,198,398,True
59,43,0,196,0,True
60,0,0,197,0,True
61,1,1,198,199,True
62,3,1,199,198,True
63,10,0,197,0,True
64,32,0,197,0,True
65,33,1,198,199,True
66,34,0,197,0,True
67,35,0,197,0,True
68,36,2,200,397,True
69,37,0,197,0,True
70,38,1,200,197,True
71,39,0,197,0,True
72,40,0,197,0,True
73,41,0,197,0,True
74,42,0,197,0,True
75,43,0,197,0,True
76,44,0,197,0,True
77,45,1,198,199,True
78,46,0,197,0,True
79,47,0,197,0,True
80,48,0,197,0,True
81,49,0,197,0,True
82,50,0,197,0,True
83,51,1,199,198,True
84,52,0,197,0,True
85,53,1,200,197,True
86,54,1,200,197,True
87,55,2,199,398,True
88,56,1,198,199,True
89,57,0,197,0,True
90,58,0,197,0,True
91,59,1,199,198,True
92,0,0,198,0,True
93,1,1,199,199,True
94,3,0,198,0,True
95,4,0,198,0,True
96,10,0,198,0,True
97,18,0,198,0,True
98,32,0,198,0,True
99,33,0,198,0,True
100,34,0,198,0,True
101,35,0,198,0,True
102,36,0,198,0,True
103,37,0,198,0,True
104,38,0,198,0,True
105,39,1,199,199,True
106,40,0,198,0,True
107,41,0,198,0,True
108,42,0,198,0,True
109,43,0,198,0,True
110,44,0,198,0,True
111,45,0,198,0,True
112,46,0,198,0,True
113,47,0,198,0,True
114,48,0,198,0,True
115,49,0,198,0,True
116,50,0,198,0,True
117,51,0,198,0,True
118,52,0,198,0,True
119,53,0,198,0,True
120,54,0,198,0,True
121,55,0,198,0,True
122,56,0,198,0,True
123,57,0,198,0,True
124,58,1,199,199,True
125,59,0,198,0,True
126,60,0,198,0,True
127,61,0,198,0,True
128,62,0,198,0,True
129,63,0,198,0,True
130,64,0,198,0,True
131,65,0,198,0,True
132,66,0,198,0,True
133,67,0,198,0,True
134,68,0,198,0,True
135,69,0,198,0,True
136,70,1,199,199,True
137,71,0,198,0,True
138,72,0,198,0,True
139,73,0,198,0,True
140,74,0,198,0,True
141,75,0,198,0,True
142,76,1,199,199,True
143,77,0,198,0,True
144,78,0,198,0,True
145,79,0,198,0,True
146,80,0,198,0,True
147,81,0,198,0,True
148,82,0,198,0,True
149,83,0,198,0,True
150,84,0,198,0,True
151,85,0,198,0,True
152,86,0,198,0,True
153,87,0,198,0,True
154,88,0,198,0,True
155,89,0,198,0,True
156,90,0,198,0,True
157,91,0,198,0,True
158,0,0,199,0,True
159,1,0,199,0,True
