ID,Parent,Food Eaten,Energy,Score,Alive?
160,3,0,199,0,True
161,4,0,199,0,True
162,10,0,199,0,True
163,18,0,199,0,True
164,32,0,199,0,True
165,33,0,199,0,True
166,34,0,199,0,True
167,35,0,199,0,True
168,36,0,199,0,True
169,37,0,199,0,True
170,38,0,199,0,True
171,39,0,199,0,True
172,40,0,199,0,True
173,41,0,199,0,True
174,42,0,199,0,True
175,43,0,199,0,True
176,44,0,199,0,True
177,45,0,199,0,True
178,46,0,199,0,True
179,47,0,199,0,True
180,48,0,199,0,True
181,49,1,200,199,True
182,50,0,199,0,True
183,51,0,199,0,True
184,52,0,199,0,True
185,53,0,199,0,True
186,54,0,199,0,True
187,55,0,199,0,True
188,56,0,199,0,True
189,57,0,199,0,True
190,58,0,199,0,True
191,59,0,199,0,True
192,60,0,199,0,True
193,61,0,199,0,True
194,62,0,199,0,True
195,63,0,199,0,True
196,64,0,199,0,True
197,65,0,199,0,True
198,66,0,199,0,True
199,67,0,199,0,True
200,68,0,199,0,True
201,69,0,199,0,True
202,70,0,199,0,True
203,71,0,199,0,True
204,72,0,199,0,True
205,73,0,199,0,True
206,74,0,199,0,True
207,75,0,199,0,True
208,76,0,199,0,True
209,77,0,199,0,True
210,78,0,199,0,True
211,79,0,199,0,True
212,80,0,199,0,True
213,81,0,199,0,True
214,82,0,199,0,True
215,83,0,199,0,True
216,84,0,199,0,True
217,85,0,199,0,True
218,86,0,199,0,True
219,87,0,199,0,True
220,88,0,199,0,True
221,89,0,199,0,True
222,90,0,199,0,True
223,91,0,199,0,True
224,92,0,199,0,True
225,93,0,199,0,True
226,94,0,199,0,True
227,95,0,199,0,True
228,96,0,199,0,True
229,97,0,199,0,True
230,98,0,199,0,True
231,99,1,200,199,True
232,100,0,199,0,True
233,101,0,199,0,True
234,102,0,199,0,True
235,103,0,199,0,True
236,104,0,199,0,True
237,105,0,199,0,True
238,106,0,199,0,True
239,107,0,199,0,True
240,108,0,199,0,True
241,109,0,199,0,True
242,110,0,199,0,True
243,111,0,199,0,True
244,112,0,199,0,True
245,113,0,199,0,True
246,114,0,199,0,True
247,115,0,199,0,True
248,116,0,199,0,True
249,117,0,199,0,True
250,118,0,199,0,True
251,119,0,199,0,True
252,120,0,199,0,True
253,121,0,199,0,True
254,122,0,199,0,True
255,123,0,199,0,True
256,124,0,199,0,True
257,125,0,199,0,True
258,126,0,199,0,True
259,127,0,199,0,True
260,128,0,199,0,True
261,129,0,199,0,True
262,130,0,199,0,True
263,131,0,199,0,True
264,132,0,199,0,True
265,133,0,199,0,True
266,134,0,199,0,True
267,135,0,199,0,True
268,136,0,199,0,True
269,137,0,199,0,True
270,138,0,199,0,True
271,139,0,199,0,True
272,140,0,199,0,True
273,141,0,199,0,True
274,142,0,199,0,True
275,143,0,199,0,True
276,144,0,199,0,True
277,145,0,199,0,True
278,146,0,199,0,True
279,147,0,199,0,True
280,148,0,199,0,True
281,149,0,199,0,True
282,150,0,199,0,True
283,151,0,199,0,True
284,152,0,199,0,True
285,153,0,199,0,True
286,154,0,199,0,True
287,155,0,199,0,True
288,156,0,199,0,True
289,157,0,199,0,True
