id,gene_stability,speed,agility,intelligence,endurance,strength,fertility,bite_size
685,1.0,1.0,1.0,7.761,1.0,6.198,2.439,2.439
591,1.0,1.0,1.0,9.7,1.0,1.0,9.2,8.8
620,3.774,9.9,1.0,6.501,1.0,6.518,2.397,3.984
604,1.0,2.235,1.0,9.7,1.0,6.198,5.916,1.0
43,4.0,7.5,1.5,1.0,1.5,2.0,5.5,7.0
44,3.375,3.375,4.0,1.5,5.0,4.625,4.625,1.0
53,1.0,6.9,7.9,4.4,1.9,3.4,6.9,1.0
61,3.1,1.0,8.1,9.6,9.6,1.1,4.6,1.6
63,5.4,1.0,9.4,9.4,1.0,1.9,3.9,1.0
1,5.0,7.0,2.0,2.0,2.0,1.0,5.0,6.0
98,3.9,4.525,3.9,3.275,4.275,3.275,3.9,1.0
92,3.375,5.25,4.625,4.625,5.0,2.75,3.375,1.625
6,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0
112,7.688,2.625,2.75,3.312,1.312,6.0,3.0,2.625
134,3.2,7.2,5.7,1.0,7.2,6.2,2.2,1.0
105,1.0,1.6,9.6,8.6,1.1,4.6,1.0,2.6
150,9.9,4.0,2.0,3.5,3.5,2.0,3.4,1.0
85,1.0,2.2,5.7,9.7,1.0,6.2,7.2,1.7
156,3.2,4.4,5.4,9.4,3.2,1.0,9.4,1.4
131,1.0,1.0,7.9,1.9,9.4,1.0,4.4,6.4
165,3.662,5.438,1.0,7.524,1.762,2.49,1.762,1.0
129,1.0,1.7,9.5,4.2,5.5,5.7,1.7,1.2
4,8.0,2.0,4.0,3.0,1.0,6.0,3.0,2.0
209,1.0,1.3,9.1,3.8,2.6,2.8,1.0,5.8
179,8.0,2.312,4.312,3.312,1.0,6.0,2.375,2.938
258,1.181,6.191,1.0,5.691,1.391,6.762,1.0,3.377
243,5.15,1.0,6.525,3.9,7.525,3.275,3.525,4.9
280,3.1,4.6,5.6,2.1,7.1,3.6,7.1,1.0
153,1.0,1.9,1.0,3.9,6.4,4.9,4.4,5.4
5,1.0,5.0,6.0,5.0,5.0,4.0,5.0,2.0
312,2.8,4.3,7.8,1.0,9.3,8.3,1.8,1.0
311,5.5,1.0,6.9,3.4,5.9,3.0,5.9,1.5
189,1.0,3.0,2.4,6.4,6.4,1.0,3.9,9.5
221,2.7,6.2,1.662,3.976,1.0,6.7,1.662,3.386
338,1.0,9.5,7.5,6.5,4.0,2.5,2.0,3.0
260,3.762,5.538,1.862,4.176,1.0,6.038,1.0,1.0
230,2.3,8.3,6.3,7.8,1.0,3.8,1.0,1.8
304,5.875,2.0,6.0,4.0,6.375,3.375,1.75,5.0
294,3.162,7.524,1.0,5.3,1.0,8.024,1.0,1.0
3,1.0,2.0,5.0,9.0,4.0,5.0,2.0,3.0
310,2.6,6.1,1.0,3.876,1.0,6.6,1.0,4.212
295,4.525,1.9,5.9,5.15,6.9,3.9,1.0,4.9
381,3.973,1.9,5.9,5.15,6.348,3.348,1.552,5.452
341,4.116,3.366,7.25,3.884,5.634,3.884,1.009,7.106
286,1.0,1.6,1.0,3.6,8.6,4.6,4.1,7.6
203,1.0,3.9,1.0,8.4,3.4,9.4,3.9,2.4
328,1.0,6.826,1.0,3.676,1.0,6.4,1.362,3.086
382,1.0,1.4,8.3,3.4,5.9,1.9,1.4,9.8
378,2.9,1.606,5.206,9.8,5.9,6.9,1.4,1.0
444,1.0,8.526,7.7,1.0,1.0,8.1,1.0,1.0
285,1.0,1.0,1.4,7.9,7.9,1.0,7.9,6.0
2,4.0,2.0,6.0,4.0,7.0,4.0,3.0,5.0
186,3.375,2.625,7.25,4.625,6.375,4.625,1.75,5.625
432,3.375,4.106,6.509,3.884,6.375,3.884,1.75,4.884
339,3.706,1.0,5.206,8.594,6.706,5.287,1.0,1.606
252,3.1,1.0,4.6,9.6,6.1,7.1,1.6,1.0
440,4.116,1.884,7.25,3.884,7.116,3.884,1.75,4.884
458,1.0,7.126,1.0,2.047,1.0,9.6,4.115,1.0
445,5.3,1.0,1.0,9.3,7.2,2.8,4.7,5.3
392,1.0,8.987,3.726,7.4,3.861,4.487,1.687,1.4
369,2.7,6.2,1.662,2.124,2.852,7.626,1.662,3.386
374,4.625,1.375,6.0,4.0,8.875,2.75,1.125,5.625
372,3.562,4.673,1.662,3.976,3.458,4.509,1.0,1.465
418,1.0,1.0,1.1,5.1,7.6,1.0,9.7,8.2
389,1.0,5.9,1.0,5.4,5.4,8.9,1.0,1.0
