ID,Parent,Food Eaten,Energy,Score,Alive?
0,-1,95,199,17375,True
1,-1,101,199,18601,True
2,-1,71,120,12012,True
3,-1,77,200,13561,True
4,-1,77,166,13339,True
8,-1,57,102,7441,True
10,1,47,185,6517,True
11,3,47,103,6712,True
13,0,25,85,1592,True
15,0,8,74,1169,True
16,1,15,133,2490,True
17,2,10,120,1266,True
18,3,20,163,3338,True
19,4,16,166,2788,True
20,10,16,174,2548,True
21,3,7,145,1094,True
22,11,13,172,2366,True
23,0,7,149,1262,True
24,1,5,117,955,True
25,2,8,175,1390,True
26,8,4,131,692,True
27,11,2,94,278,True
28,15,5,172,681,True
29,16,5,134,842,True
30,18,5,157,815,True
31,22,3,124,438,True
32,0,1,200,193,True
33,1,2,200,393,True
34,3,0,193,0,True
35,20,1,194,199,True
36,0,0,198,0,True
37,1,0,198,0,True
38,3,0,198,0,True
39,10,1,200,198,True
40,32,0,198,0,True
41,33,0,198,0,True
42,34,0,198,0,True
43,35,0,198,0,True
44,0,0,199,0,True
45,1,0,199,0,True
46,3,0,199,0,True
47,10,0,199,0,True
48,32,0,199,0,True
49,33,0,199,0,True
50,34,0,199,0,True
51,35,1,200,199,True
52,36,0,199,0,True
53,37,0,199,0,True
54,38,0,199,0,True
55,39,0,199,0,True
56,40,0,199,0,True
57,41,0,199,0,True
58,42,1,200,199,True
59,43,0,199,0,True
