ID,Parent,Food Eaten,Energy,Score,Alive?
0,-1,95,198,17375,True
1,-1,101,198,18601,True
2,-1,71,119,12012,True
3,-1,78,200,13760,True
4,-1,78,185,13504,True
8,-1,57,101,7441,True
10,1,47,184,6517,True
11,3,47,102,6712,True
13,0,25,84,1592,True
15,0,8,73,1169,True
16,1,15,132,2490,True
17,2,10,119,1266,True
18,3,21,182,3500,True
19,4,16,165,2788,True
20,10,16,173,2548,True
21,3,7,144,1094,True
22,11,13,171,2366,True
23,0,7,148,1262,True
24,1,5,116,955,True
25,2,8,174,1390,True
26,8,4,130,692,True
27,11,2,93,278,True
28,15,5,171,681,True
29,16,5,133,842,True
30,18,5,156,815,True
31,22,3,123,438,True
32,0,1,199,193,True
33,1,2,199,393,True
34,3,1,200,192,True
35,20,1,193,199,True
36,0,0,197,0,True
37,1,0,197,0,True
38,3,0,197,0,True
39,10,1,199,198,True
40,32,0,197,0,True
41,33,0,197,0,True
42,34,0,197,0,True
43,35,0,197,0,True
44,0,0,198,0,True
45,1,0,198,0,True
46,3,0,198,0,True
47,10,0,198,0,True
48,32,0,198,0,True
49,33,0,198,0,True
50,34,0,198,0,True
51,35,1,199,199,True
52,36,1,200,198,True
53,37,0,198,0,True
54,38,0,198,0,True
55,39,0,198,0,True
56,40,0,198,0,True
57,41,0,198,0,True
58,42,2,200,398,True
59,43,0,198,0,True
60,0,0,199,0,True
61,1,1,200,199,True
62,3,0,199,0,True
63,10,0,199,0,True
64,32,0,199,0,True
65,33,1,200,199,True
66,34,0,199,0,True
67,35,0,199,0,True
68,36,1,200,199,True
69,37,0,199,0,True
70,38,0,199,0,True
71,39,0,199,0,True
72,40,0,199,0,True
73,41,0,199,0,True
74,42,0,199,0,True
75,43,0,199,0,True
76,44,0,199,0,True
77,45,1,200,199,True
78,46,0,199,0,True
79,47,0,199,0,True
80,48,0,199,0,True
81,49,0,199,0,True
82,50,0,199,0,True
83,51,0,199,0,True
84,52,0,199,0,True
85,53,0,199,0,True
86,54,0,199,0,True
87,55,1,200,199,True
88,56,1,200,199,True
89,57,0,199,0,True
90,58,0,199,0,True
91,59,0,199,0,True
